page,renderer,classification,width,height,dpi,ae_pixels,ae_percent,mae,rmse,psnr,ssim,dssim,status,path_img_A,path_img_B,path_img_diff,path_img_overlay
1,Poppler,Consistent,2482,3509,300,197002,2.2619629643,0.011585,0.0932979,20.6026,0.982271,0.0177294,Fail,poppler/A/page-0001.png,poppler/B/page-0001.png,poppler/diff/page-0001.png,poppler/overlay/page-0001.png
1,Ghostscript,Consistent,2481,3508,300,167459,1.9240756546,0.0120346,0.098598,20.1226,0.981075,0.0189245,Fail,ghostscript/A/page-0001.png,ghostscript/B/page-0001.png,ghostscript/diff/page-0001.png,ghostscript/overlay/page-0001.png
