page,renderer,classification,width,height,dpi,ae_pixels,ae_percent,mae,rmse,psnr,ssim,dssim,status,path_img_A,path_img_B,path_img_diff,path_img_overlay
1,Poppler,Consistent,2550,3300,300,11292,0.1341889483,0.000898605,0.0277781,31.126,0.998673,0.00132653,Warning,poppler/A/page-0001.png,poppler/B/page-0001.png,poppler/diff/page-0001.png,poppler/overlay/page-0001.png
1,Ghostscript,Consistent,2550,3300,300,9771,0.116114082,0.000900194,0.0284908,30.9059,0.998682,0.00131751,Warning,ghostscript/A/page-0001.png,ghostscript/B/page-0001.png,ghostscript/diff/page-0001.png,ghostscript/overlay/page-0001.png
