page,renderer,classification,width,height,dpi,ae_pixels,ae_percent,mae,rmse,psnr,ssim,dssim,status,path_img_A,path_img_B,path_img_diff,path_img_overlay
1,Poppler,Consistent,2480,3509,300,18628,0.2140578604,0.00144895,0.0355615,28.9804,0.997852,0.0021482,Warning,poppler/A/page-0001.png,poppler/B/page-0001.png,poppler/diff/page-0001.png,poppler/overlay/page-0001.png
1,Ghostscript,Consistent,2479,3508,300,16740,0.1924949507,0.00143993,0.0357978,28.9229,0.997865,0.00213453,Warning,ghostscript/A/page-0001.png,ghostscript/B/page-0001.png,ghostscript/diff/page-0001.png,ghostscript/overlay/page-0001.png
