page,renderer,classification,width,height,dpi,ae_pixels,ae_percent,mae,rmse,psnr,ssim,dssim,status,path_img_A,path_img_B,path_img_diff,path_img_overlay
1,Poppler,Consistent,2481,3509,300,133857,1.5375560443,0.00889251,0.0848275,21.4293,0.98354,0.0164605,Fail,poppler/A/page-0001.png,poppler/B/page-0001.png,poppler/diff/page-0001.png,poppler/overlay/page-0001.png
1,Ghostscript,Consistent,2480,3508,300,132742,1.5257981756,0.00966785,0.0896882,20.9453,0.982481,0.0175188,Fail,ghostscript/A/page-0001.png,ghostscript/B/page-0001.png,ghostscript/diff/page-0001.png,ghostscript/overlay/page-0001.png
